S.No,Curing (days),Cement (kg/m³),w/c,Coarse aggregate (kg/m³),Fine aggregate (kg/m³),CNT (%),Compressive strength (MPa)
249,28,355.96,0.75,1032.3,848.38,1,17.58
250,28,355.96,0.75,1032.3,848.38,1.25,27.09
251,28,355.96,0.75,1032.3,848.38,1.5,25.41
252,28,355.96,0.75,1032.3,848.38,1.75,16.98
253,28,355.96,0.75,1032.3,848.38,2,15.17
254,7,350,0.4,1121.208,659.604,0,36.5
255,28,350,0.4,1121.208,659.604,0,49.2
256,7,350,0.4,1121.208,659.604,0.1,36.6
257,28,350,0.4,1121.208,659.604,0.1,52.7
258,7,350,0.4,1121.208,659.604,0.2,36.79
259,28,350,0.4,1121.208,659.604,0.2,58.16
260,7,350,0.4,1121.208,659.604,0.3,38.09
261,28,350,0.4,1121.208,659.604,0.3,60.3
262,7,350,0.4,1121.208,659.604,0.4,37.69
263,28,350,0.4,1121.208,659.604,0.4,61.26
264,7,350,0.4,1121.208,659.604,0.5,38.19
265,28,350,0.4,1121.208,659.604,0.5,62.66
266,7,380,0.55,952,696,0,36.8
267,28,380,0.55,952,696,0,47.5
268,90,380,0.55,952,696,0,54.7
269,7,380,0.55,952,696,0.05,40.4
270,28,380,0.55,952,696,0.05,52.1
271,90,380,0.55,952,696,0.05,59.2
272,7,380,0.55,952,696,0.1,45.1
273,28,380,0.55,952,696,0.1,57.5
274,90,380,0.55,952,696,0.1,66.7
275,7,380,0.55,952,696,0.5,38.4
276,28,380,0.55,952,696,0.5,51.2
277,90,380,0.55,952,696,0.5,57.5
278,28,380,0.55,951.3,756.8,0,47.5
279,28,380,0.55,951.3,756.8,0.05,52.1
280,28,380,0.55,951.3,756.8,0.1,57.5
281,28,380,0.56,952,757,0,45.6
282,28,380,0.56,952,757,1.11,50
283,28,380,0.55,952,757,0.1,57.5
284,28,380,0.55,952,757,0.5,51.2
285,28,380,0.55,952,757,0.05,52.1
286,28,380,0.55,952,757,0.5,44.5
287,28,380,0.55,952,757,0.05,51.6
288,28,380,0.55,952,757,0.5,47.3
289,28,380,0.55,952,757,0.05,46.2
290,28,380,0.55,952,757,0.05,50.7
291,28,400,0.45,987,780,–,64.7
292,28,400,0.45,987,780,0.05,64
293,28,450,0.35,1006,768,–,78.3
294,28,450,0.35,1006,768,0.05,84.9
295,28,525,0.45,0,1580,0,29.875
296,28,525,0.45,0,1580,0.06,38.75
297,28,525,0.45,0,1580,0.12,31.25
